"goods_nomenclature_item_id","measure_generating_regulation_id","geographical_area_id","measure_type_id","ad_valorem","specific1","ceiling","minimum","specific2","validity_start_date","validity_end_date"
"2710198100",S1900013,"1011","133",0,,,,,"2019-11-01",
"2710198300",S1900013,"1011","133",0,,,,,"2019-11-01",
"2710198700",S1900013,"1011","133",0,,,,,"2019-11-01",
"2712100000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2804400000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2811210000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2818200000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2916399000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2919000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2922190000",S1900013,"1011","133",0,,,,,"2019-11-01",
"2933000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3203000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3204000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3205000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3206000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3207000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3208000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3209000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3210000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3211000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3212000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3213000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3214000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3402000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3403190000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3403990000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3506000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3601000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3603000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3604000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3809000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3810000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3811000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3812000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3813000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3814000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3815000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3819000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3820000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3824000000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3901200000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3902100000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3902300000",S1900013,"1011","133",0,,,,,"2019-11-01",
"3903000000",S1900013,"1011","133",0,,,,,"2019-11-01",
