"goods_nomenclature_item_id","measure_generating_regulation_id","geographical_area_id","measure_type_id","ad_valorem","specific1","ceiling","minimum","specific2","validity_start_date","validity_end_date"
"1507000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1508000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1509000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1510000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1511100000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1511901100",S1900012,"1011","132",0,,,,,"2019-11-01",
"1511901990",S1900012,"1011","132",0,,,,,"2019-11-01",
"1511909190",S1900012,"1011","132",0,,,,,"2019-11-01",
"1511909900",S1900012,"1011","132",0,,,,,"2019-11-01",
"1512000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513111090",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513119100",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513119900",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513191100",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513191900",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513193090",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513199100",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513199900",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513211090",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513213000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513219000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513291100",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513291900",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513293090",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513295000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1513299000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1514000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515110000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515190000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515210000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515290000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515309000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515500000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1515900000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1516000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"1517000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2705000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2707100000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2707200000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2707300000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710121100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710121500",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710122100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710122500",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710124100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710124500",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710124900",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710125000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710129000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710191100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710192500",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710192900",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710193100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710194300",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710194600",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710194700",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710194800",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710195100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710196200",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710196400",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710196800",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710197100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710198100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710198300",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710198500",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710198700",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710199100",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710199300",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710199900",S1900012,"1011","132",0,,,,,"2019-11-01",
"2710200000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711129400",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711129700",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711130000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711140000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711190000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711210000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2711290000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2804100000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2804210000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2804290000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2804300000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2804400000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2806000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2807000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2808000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2809000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2810000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811110000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811120000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811191000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811198010",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811198020",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811198090",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811210000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811220010",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811220015",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811220040",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811220060",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811220090",S1900012,"1011","132",0,,,,,"2019-11-01",
"2811290000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2812000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2813000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2814000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2815000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2816000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2817000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2818000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2819100000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2819901000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2819909090",S1900012,"1011","132",0,,,,,"2019-11-01",
"2820000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2821000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2822000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2823000010",S1900012,"1011","132",0,,,,,"2019-11-01",
"2823000090",S1900012,"1011","132",0,,,,,"2019-11-01",
"2824000000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825100000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825200000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825300000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825400000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825500000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825600000",S1900012,"1011","132",0,,,,,"2019-11-01",
"2825700000",S1900012,"1011","132",0,,,,,"2019-11-01",
