"2700000000","2700","80","","","MINERAL FUELS; MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
"2701000000","2701","80","","","Coal; briquettes; ovoids and similar solid fuels manufactured from coal"
"2701110000","","10","","","Coal; whether or not pulverised; but not agglomerated"
"2701110000","2701 11","80","0.0%","","Anthracite"
"2701120000","2701 12","80","","","Bituminous coal"
"2701121000","2701 12 10","80","0.0%","","Coking coal"
"2701129000","2701 12 90","80","0.0%","","Other"
"2701190000","2701 19","80","0.0%","","Other coal"
"2701200000","2701 20","80","0.0%","","Briquettes; ovoids and similar solid fuels manufactured from coal"
"2702000000","2702","80","","","Lignite; whether or not agglomerated; excluding jet"
"2702100000","2702 10","80","0.0%","","Lignite; whether or not pulverised; but not agglomerated"
"2702200000","2702 20","80","0.0%","","Agglomerated lignite"
"2703000000","2703","80","0.0%","","Peat (including peat litter); whether or not agglomerated"
"2704000000","2704","80","","","Coke and semi-coke of coal; of lignite or of peat; whether or not agglomerated; retort carbon"
"2704001000","2704 00 10","80","0.0%","","Coke and semi-coke of coal"
"2704003000","2704 00 30","80","0.0%","","Coke and semi-coke of lignite"
"2704009000","2704 00 90","80","0.0%","","Other"
"2705000000","2705","80","0.0%","","Coal gas; water gas; producer gas and similar gases; other than petroleum gases and other gaseous hydrocarbons"
"2706000000","2706","80","0.0%","","Tar distilled from coal; from lignite or from peat; and other mineral tars; whether or not dehydrated or partially distilled; including reconstituted tars"
"2707000000","2707","80","","","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents"
"2707100000","2707 10","80","","","Benzol (benzene)"
"2707100010","2707 10 00 10","80","0.0%","","For use as a power or heating fuel"
"2707100090","2707 10 00 90","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For other purposes"
"2707200000","2707 20","80","","","Toluol (toluene)"
"2707200010","2707 20 00 10","80","0.0%","","For use as a power or heating fuel"
"2707200090","2707 20 00 90","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For other purposes"
"2707300000","2707 30","80","","","Xylol (xylenes)"
"2707300010","2707 30 00 10","80","0.0%","","For use as a power or heating fuel"
"2707300090","2707 30 00 90","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For other purposes"
"2707400000","2707 40","80","0.0%","","Naphthalene"
"2707500000","2707 50","80","","","Other aromatic hydrocarbon mixtures of which 65% or more by volume (including losses) distils at 250 °C by the ISO 3405 method (equivalent to the ASTM D 86 method)"
"2707500020","2707 50 00 20","80","0.0%","","Mixture of xylenol-isomers and ethyl phenol-isomers; with a total xylenol content by weight of 62% or more but less than 95%"
"2707500080","","10","","","Other"
"2707500080","2707 50 00 80","80","0.0%","","For use as power or heating fuels"
"2707500089","2707 50 00 89","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For other purposes"
"2707910000","","10","","","Other"
"2707910000","2707 91","80","0.0%","","Creosote oils"
"2707990000","2707 99","80","","","Other"
"2707991100","","10","","","Crude oils"
"2707991100","2707 99 11","80","0.0%","","Crude light oils of which 90% or more by volume distils at temperatures of up to 200 °C"
"2707991900","2707 99 19","80","0.0%","","Other"
"2707992000","2707 99 20","80","0.0%","","Sulphuretted toppings; anthracene"
"2707995000","2707 99 50","80","0.0%","","Basic products"
"2707998000","2707 99 80","80","0.0%","","Phenols"
"2707999100","","10","","","Other"
"2707999100","2707 99 91","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the manufacture of the products of heading 2803"
"2707999900","2707 99 99","80","0.0%","","Other"
"2708000000","2708","80","","","Pitch and pitch coke; obtained from coal tar or from other mineral tars"
"2708100000","2708 10","80","0.0%","","Pitch"
"2708200000","2708 20","80","0.0%","","Pitch coke"
"2709000000","2709","80","","","Petroleum oils and oils obtained from bituminous minerals; crude"
"2709001000","2709 00 10","80","0.0%","","Natural gas condensates"
"2709009000","2709 00 90","80","0.0%","","Other"
"2710000000","2710","80","","","Petroleum oils and oils obtained from bituminous minerals; other than crude; preparations not elsewhere specified or included; containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals; these oils being the basic constituents of the preparations; waste oils"
"2710120000","","10","","","Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included; containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals; these oils being the basic constituents of the preparations; other than those containing biodiesel and other than waste oils"
"2710120000","2710 12","80","","","Light oils and preparations"
"2710121100","2710 12 11","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing a specific process"
"2710121500","2710 12 15","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 12 11"
"2710122100","","10","","","For other purposes"
"2710122100","","20","","","Special spirits"
"2710122100","2710 12 21","80","0.0%","","White spirit"
"2710122500","2710 12 25","80","0.0%","","Other"
"2710123100","","10","","","Other"
"2710123100","","20","","","Motor spirit"
"2710123100","2710 12 31","80","0.0%","","Aviation spirit"
"2710124100","","10","","","Other; with a lead content"
"2710124100","","20","","","Not exceeding 0.013 g per litre"
"2710124100","2710 12 41","80","4.7%","","With an octane number (RON) of less than 95"
"2710124500","2710 12 45","80","4.7%","","With an octane number (RON) of 95 or more but less than 98"
"2710124900","2710 12 49","80","4.7%","","With an octane number (RON) of 98 or more"
"2710125000","2710 12 50","80","4.7%","","Exceeding 0.013 g per litre"
"2710127000","2710 12 70","80","0.0%","","Spirit type jet fuel"
"2710129000","2710 12 90","80","4.7%","","Other light oils"
"2710190000","2710 19","80","","","Other"
"2710191100","","10","","","Medium oils"
"2710191100","2710 19 11","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing a specific process"
"2710191500","2710 19 15","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 11"
"2710192100","","10","","","For other purposes"
"2710192100","","20","","","Kerosene"
"2710192100","2710 19 21","80","0.0%","","Jet fuel"
"2710192500","2710 19 25","80","0.0%","","Other"
"2710192900","2710 19 29","80","0.0%","","Other"
"2710193100","","10","","","Heavy oils"
"2710193100","","20","","","Gas oils"
"2710193100","2710 19 31","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing a specific process"
"2710193500","2710 19 35","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 31"
"2710194300","","10","","","For other purposes"
"2710194300","2710 19 43","80","0.0%","","With a sulphur content not exceeding 0.001% by weight"
