"4800000000","4800","80","","","PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP; OF PAPER OR OF PAPERBOARD"
"4801000000","4801","80","0.0%","","Newsprint; in rolls or sheets"
"4802000000","4802","80","","","Uncoated paper and paperboard; of a kind used for writing; printing or other graphic purposes; and non-perforated punchcards and punch-tape paper; in rolls or rectangular (including square) sheets; of any size; other than paper of heading 4801 or 4803; handmade paper and paperboard"
"4802100000","4802 10","80","0.0%","","Handmade paper and paperboard"
"4802200000","4802 20","80","0.0%","","Paper and paperboard of a kind used as a base for photosensitive; heat-sensitive or electrosensitive paper or paperboard"
"4802400000","4802 40","80","","","Wallpaper base"
"4802401000","4802 40 10","80","0.0%","","Not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres"
"4802409000","4802 40 90","80","0.0%","","Other"
"4802540000","","10","","","Other paper and paperboard; not containing fibres obtained by a mechanical or chemi-mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres"
"4802540000","4802 54","80","0.0%","","Weighing less than 40 g/m<w:vertAlign w:val='superscript'/>2"
"4802550000","4802 55","80","","","Weighing 40 g/m<w:vertAlign w:val='superscript'/>2 or more but not more than 150 g/m<w:vertAlign w:val='superscript'/>2; in rolls"
"4802551500","4802 55 15","80","0.0%","","Weighing 40 g/m<w:vertAlign w:val='superscript'/>2 or more but less than 60 g/m<w:vertAlign w:val='superscript'/>2"
"4802552500","4802 55 25","80","0.0%","","Weighing 60 g/m<w:vertAlign w:val='superscript'/>2 or more but less than 75 g/m<w:vertAlign w:val='superscript'/>2"
"4802553000","4802 55 30","80","0.0%","","Weighing 75 g/m<w:vertAlign w:val='superscript'/>2 or more but less than 80 g/m<w:vertAlign w:val='superscript'/>2"
"4802559000","4802 55 90","80","0.0%","","Weighing 80 g/m<w:vertAlign w:val='superscript'/>2 or more"
"4802560000","4802 56","80","","","Weighing 40 g/m<w:vertAlign w:val='superscript'/>2 or more but not more than 150 g/m<w:vertAlign w:val='superscript'/>2; in sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state"
